Name,DeviceID,Status
Microphone Array (3- Intelr Smart Sound Technology for,Digital,Microphones)
WAN,Connection,Device
Intelr Smart Sound,Technology,BUS
Microsoft System Management,BIOS,Driver
Intelr Smart Sound,Technology,OED
Intel(R) SMBus,-,A0A3
Intel(R) HID,Event,Filter
Plug and Play Software,Device,Enumerator
PCI Express Upstream,Switch,Port
Remote Desktop Device,Redirector,Bus
Bluetooth Device (RFCOMM,Protocol,TDI)
Bluetooth Device (Personal Area,Network),#14
ELAN,TrackPoint,Component
USB,Input,Device
WAN,Miniport,(IPv6)
Lenovo,USB,Ethernet
HID-compliant consumer,control,device
DolbyAPO Software,Device,(HSA)
WAN,Miniport,(L2TP)
